"year","sev","dur"
1900,0,0
1901,4.49999196776362,9
1902,0.642739262449463,1
1903,6.27861342957736,7
1904,5.45626764105739,5
1905,1.70823170577454,4
1906,0.77449332703908,1
1907,0.774286486872865,3
1908,2.20328260632367,4
1909,10.8381153517314,8
1910,2.1603437732803,4
1911,0,0
1912,13.4201158497876,9
1913,8.36780899781173,10
1914,0.211375076596395,1
1915,5.81024875408511,3
1916,2.0145046635095,2
1917,6.3635755076184,5
1918,4.56032798473457,4
1919,3.75098829825121,5
1920,3.39029640714231,2
1921,4.87820117683204,5
1922,0.842593072406606,2
1923,1.62842998227719,4
1924,3.65733884063276,3
1925,6.52341233298847,4
1926,0.86498870919268,2
1927,1.1689696693277,2
1928,3.21657180552433,4
1929,5.3669785733488,5
1930,4.55389677450623,4
1931,0.512562999973868,2
1932,4.99252499228206,5
1933,6.3604929489986,6
1934,14.0925969520443,14
1935,2.29290918353275,3
1936,2.16696048213311,4
1937,2.0513874478267,3
1938,4.50925081181745,7
1939,1.26355987427431,2
1940,1.02972069538088,3
1941,0.259719180422993,3
1942,5.09371813001386,6
1943,11.996187732128,13
1944,5.70470755041907,5
1945,0.696510843307299,3
1946,1.53643014464887,1
1947,6.22798049787115,7
1948,3.48268042038385,4
1949,6.8311106665782,7
1950,0,0
1951,3.10028629512454,7
1952,7.57454216569931,11
1953,4.7726856887184,3
1954,13.4158783239079,10
1955,0.85426758142548,1
1956,0.163345594152982,1
1957,4.1557404504917,8
1958,1.22670464909391,2
1959,12.4713075707269,13
1960,3.98274193129923,6
1961,0.854204462237751,3
1962,1.36591378128084,3
1963,6.2291188734656,5
1964,10.9864059702517,16
1965,2.68146509406218,4
1966,0.947109940103915,2
1967,0,0
1968,4.53721092518527,6
1969,0.0854030818000407,1
1970,3.62940842294946,7
1971,5.23603490867604,5
1972,8.9354390523672,9
1973,7.36599902866954,6
1974,2.05024230198508,3
1975,8.73437074741532,10
1976,0,0
1977,15.1564858173195,11
1978,4.60756405736415,8
1979,1.87653701123381,3
1980,0.922930949851163,2
1981,0.354308421438315,1
1982,10.6669379990417,10
1983,4.39962886437682,3
1984,1.03289342922832,3
1985,4.77766614342887,8
1986,0.404025705945463,2
1987,0,0
1988,2.31883249113653,3
1989,13.1577312157398,15
1990,1.09693540937679,3
1991,3.50574038806826,4
1992,6.49403477146769,5
1993,2.8029766149539,3
1994,0.579755369703277,2
1995,2.67789122000255,4
1996,7.07187661985315,7
1997,4.87350603699268,8
1998,1.96874711885763,6
1999,8.95704711112103,8
2000,3.00778178782378,3
2001,3.46097465381447,4
2002,0.0609031125016219,1
2003,12.579169699962,11
2004,0.90038826749593,2
2005,1.42752330623052,3
2006,5.58635354641229,7
2007,0.943783327879986,1
2008,4.18934364365658,5
2009,3.92409224731433,6
2010,3.02906549028813,3
2011,6.01156324659815,4
2012,4.21885795176096,4
2013,1.34113497532161,2
2014,5.48689378565128,4
2015,5.06981215182173,7
2016,5.70510312230544,7
2017,1.48165119006183,3
2018,0.762817010893977,1
2019,18.034088737231,11
